experiment_domain,trial_id,repetition,random_seed,injected_failure_type,injected_severity,expected_root_cause,failure_detected,detected_failure_category,detection_correct,predicted_root_cause,classification_correct,classification_confidence,remediation_action,remediation_executed,human_approval_required,cycle_status,recovery_verified,input_record_count,output_record_count,quarantined_record_count,runtime_milliseconds,original_size_bytes,observed_size_bytes,regenerated_size_bytes,checksum_restored
dataframe,source_failure-medium-r021-s11063,21,11063,source_failure,medium,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.575,,,,
dataframe,source_failure-medium-r022-s11064,22,11064,source_failure,medium,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.5169,,,,
dataframe,source_failure-medium-r023-s11065,23,11065,source_failure,medium,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,16.3304,,,,
dataframe,source_failure-medium-r024-s11066,24,11066,source_failure,medium,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.9541,,,,
dataframe,source_failure-medium-r025-s11067,25,11067,source_failure,medium,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.6428,,,,
dataframe,source_failure-medium-r026-s11068,26,11068,source_failure,medium,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.579,,,,
dataframe,source_failure-medium-r027-s11069,27,11069,source_failure,medium,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.5967,,,,
dataframe,source_failure-medium-r028-s11070,28,11070,source_failure,medium,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.5114,,,,
dataframe,source_failure-medium-r029-s11071,29,11071,source_failure,medium,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.6098,,,,
dataframe,source_failure-medium-r030-s11072,30,11072,source_failure,medium,source_failure,True,source_failure,True,source_failure,True,1.0,retry_with_exponential_backoff,True,False,recovery_scheduled,False,10000.0,10000.0,0.0,5.4764,,,,
